id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
410,Monga,Jeremy,Monga,Man City,43,3,MID,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
411,Haaland,Erling,Haaland,Man City,43,4,FWD,156,39,450,5,0,2,5,0,0,0,0,0,0,9,167,155.6,20.5,201.0,37.7,5,4.42,0.53,4.95,7.25,7.8,7.8,73.5,a,0,10,10,20
481,Anderson,Elliot,Anderson,Man City,43,3,MID,63,15,413,0,0,2,5,0,0,0,1,0,0,0,95,74.0,72.4,18.0,16.5,5,0.11,0.67,0.78,7.15,3.0,3.0,4.1,a,13,23,18,54
587,Rulli,Gerónimo,Rulli,Man City,43,1,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
616,Bouaddi,Ayyoub,Bouaddi,Man City,43,3,MID,55,2,22,0,0,0,0,0,0,0,0,0,0,0,8,13.0,4.8,0.0,1.8,0,0.00,0.12,0.12,0.37,0.5,1.0,0.2,a,0,3,3,6
621,McAidoo,Ryan,McAidoo,Man City,43,3,MID,45,2,11,0,0,0,0,0,0,0,0,0,0,0,8,5.2,0.5,3.0,0.8,0,0.10,0.00,0.10,0.02,0.5,1.0,0.1,a,2,2,0,4
622,Braithwaite,Kaden,Braithwaite,Man City,43,2,DEF,40,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.8,0.0,0.1,0,0.00,0.00,0.00,0.00,0.2,1.0,0.2,a,0,1,0,0
628,Allan,Allan,Andrade Elias,Man City,43,3,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
653,Samba,Floyd,Samba,Man City,43,3,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
43,Tielemans,Youri,Tielemans,Man Utd,1,3,MID,58,14,402,0,0,0,8,0,0,0,0,0,0,0,93,69.0,90.3,37.0,19.7,5,0.65,0.52,1.17,6.16,2.8,2.8,1.5,a,7,25,11,43
131,Baleba,Carlos,Baleba,Man Utd,1,3,MID,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
162,Andrey Santos,Andrey,Nascimento dos Santos,Man Utd,1,3,MID,48,4,82,0,0,0,4,0,0,0,0,0,0,0,23,24.8,5.5,8.0,3.9,1,0.00,0.24,0.24,2.03,0.8,1.3,0.6,a,4,7,7,18
325,Darlow,Karl,Darlow,Man Utd,1,1,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
412,Lammens,Senne,Lammens,Man Utd,1,1,GKP,49,11,450,0,0,0,8,0,0,0,0,0,16,0,58,85.6,0.0,0.0,8.6,5,0.00,0.00,0.00,6.80,2.2,2.2,10.1,a,0,38,5,0
413,Bayindir,Altay,Bayındır,Man Utd,1,1,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
414,Heaton,Tom,Heaton,Man Utd,1,1,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,i,0,0,0,0
415,Dorgu,Patrick,Dorgu,Man Utd,1,3,MID,58,10,171,0,1,0,6,0,0,0,1,0,0,0,27,30.8,32.9,61.0,11.5,2,0.78,0.09,0.87,3.38,2.0,2.0,0.5,a,8,4,8,20
416,De Ligt,Matthijs,de Ligt,Man Utd,1,2,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
417,Dalot,Diogo,Dalot Teixeira,Man Utd,1,2,DEF,49,8,346,0,0,0,4,0,0,0,1,0,0,0,46,35.0,92.7,42.0,17.1,4,0.24,0.23,0.47,4.70,1.6,1.6,1.7,a,6,21,10,16
418,Maguire,Harry,Maguire,Man Utd,1,2,DEF,49,10,450,0,1,0,8,0,0,0,2,0,0,0,50,68.8,33.0,38.0,14.0,5,0.20,0.46,0.66,6.80,2.0,2.0,9.0,a,3,21,28,31
419,Martinez,Lisandro,Martínez,Man Utd,1,2,DEF,50,6,360,0,0,0,6,1,0,0,0,0,0,0,29,54.0,5.5,10.0,7.0,4,0.21,0.16,0.37,5.79,1.2,1.5,1.3,a,3,14,17,20
420,Yoro,Leny,Yoro,Man Utd,1,2,DEF,48,2,22,0,0,0,2,0,0,0,0,0,0,0,-1,7.8,2.4,2.0,1.3,0,0.00,0.02,0.02,1.09,0.4,1.0,0.5,a,2,1,3,5
421,Heaven,Ayden,Heaven,Man Utd,1,2,DEF,44,1,90,0,0,0,2,0,0,0,0,0,0,0,5,6.8,2.6,11.0,2.0,1,0.12,0.04,0.16,1.01,0.2,1.0,0.3,a,1,4,1,2
422,Mazraoui,Noussair,Mazraoui,Man Utd,1,2,DEF,44,3,97,0,0,0,4,0,0,0,0,0,0,0,6,21.0,31.2,11.0,6.4,1,0.22,0.06,0.28,2.08,0.6,1.0,0.5,a,2,3,4,6
423,Shaw,Luke,Shaw,Man Utd,1,2,DEF,43,9,335,0,1,0,5,0,0,0,1,0,0,0,54,86.0,85.6,13.0,18.4,4,0.03,0.58,0.61,4.63,1.8,2.2,7.9,a,6,7,17,23
424,Amass,Harry,Amass,Man Utd,1,2,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,a,0,0,0,0
425,Fredricson,Tyler,Fredricson,Man Utd,1,2,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
426,B.Fernandes,Bruno,Borges Fernandes,Man Utd,1,3,MID,120,31,450,3,1,0,8,0,0,0,0,0,0,3,148,173.0,182.9,104.0,46.0,5,2.56,1.32,3.88,6.80,6.2,6.2,39.2,a,5,21,3,29
427,Mbeumo,Bryan,Mbeumo,Man Utd,1,3,MID,79,25,450,2,1,0,8,0,0,0,1,0,0,3,110,106.2,117.9,126.0,35.1,5,3.07,0.80,3.87,6.80,5.0,5.0,21.0,a,5,14,7,26
428,Cunha,Matheus,Santos Carneiro da Cunha,Man Utd,1,3,MID,79,26,407,1,2,1,5,0,0,0,0,0,0,4,95,30.6,76.3,88.0,19.6,5,0.63,0.83,1.46,5.44,5.2,5.2,5.7,a,3,9,1,13
