id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
620,Diouf,El Hadji Malick,Diouf,Brentford,94,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
109,Verbruggen,Bart,Verbruggen,Brighton,36,1,GKP,45,9,270,0,0,1,5,0,0,0,0,0,4,0,41,46.0,3.0,0.0,4.9,3,0.00,0.20,0.20,5.71,3.0,3.0,22.1,a,0,23,0,0
111,Steele,Jason,Steele,Brighton,36,1,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,4.3,a,0,0,0,0
113,F.Kadıoğlu,Ferdi,Kadıoğlu,Brighton,36,2,DEF,44,2,167,0,0,0,5,0,0,0,0,0,0,0,4,15.4,29.2,27.0,7.2,2,0.08,0.02,0.10,5.33,0.7,1.0,1.9,a,1,4,4,5
114,Boscagli,Olivier,Boscagli,Brighton,36,2,DEF,45,7,270,0,0,1,5,0,0,0,1,0,0,0,44,52.6,96.2,17.0,16.6,3,0.05,0.48,0.53,5.71,2.3,2.3,0.3,a,1,10,12,13
115,De Cuyper,Maxim,De Cuyper,Brighton,36,2,DEF,48,21,243,1,2,1,5,0,0,0,1,0,0,2,61,69.0,91.1,50.0,21.1,3,1.50,0.40,1.90,5.62,7.0,7.0,19.4,a,4,10,4,8
116,Dunk,Lewis,Dunk,Brighton,36,2,DEF,45,10,270,0,0,1,5,0,0,0,1,0,0,1,40,59.0,10.3,4.0,7.4,3,0.00,0.06,0.06,5.71,3.3,3.3,1.3,a,2,11,15,17
117,Coppola,Diego,Coppola,Brighton,36,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
118,Igor,Igor Julio,dos Santos de Paulo,Brighton,36,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
119,Costinha,João Pedro,Loureiro da Costa,Brighton,36,2,DEF,45,2,48,0,0,0,0,0,0,0,1,0,0,0,13,14.0,16.7,18.0,4.8,0,0.12,0.16,0.28,0.24,0.7,0.7,0.0,a,1,0,4,5
120,Svoboda,Michael,Svoboda,Brighton,36,2,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
121,Mitoma,Mitoma,Kaoru,Brighton,36,3,MID,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
122,Minteh,Yankuba,Minteh,Brighton,36,3,MID,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
123,Hinshelwood,Jack,Hinshelwood,Brighton,36,3,MID,60,16,63,2,0,1,0,0,0,0,0,0,0,3,54,72.8,13.4,59.0,14.5,1,1.41,0.02,1.43,0.19,5.3,16.0,1.1,d,2,1,0,3
124,Groß,Pascal,Groß,Brighton,36,3,MID,55,16,270,1,1,1,5,0,0,0,2,0,0,3,63,68.8,106.6,50.0,22.2,3,0.84,0.42,1.26,5.71,5.3,5.3,16.2,a,4,7,4,15
125,Georginio,Georginio,Rutter,Brighton,36,4,FWD,55,5,90,0,1,1,0,0,0,0,0,0,0,0,22,19.8,11.4,15.0,4.6,1,0.08,0.44,0.52,0.29,1.7,5.0,0.7,d,2,4,1,7
126,O'Riley,Matt,O'Riley,Brighton,36,3,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
127,Gomez,Diego,Gómez Amarilla,Brighton,36,3,MID,50,13,265,0,2,1,5,0,0,0,0,0,0,0,55,52.8,71.8,113.0,23.8,3,0.65,0.70,1.35,5.71,4.3,4.3,4.9,a,8,7,5,20
128,Buonanotte,Facundo,Buonanotte,Brighton,36,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
129,Ayari,Yasin,Ayari,Brighton,36,3,MID,54,4,153,0,0,1,1,0,0,0,1,0,0,0,26,11.4,29.8,24.0,6.1,2,0.28,0.07,0.35,2.68,1.3,2.0,0.4,a,0,5,2,7
130,Wieffer,Mats,Wieffer,Brighton,36,2,DEF,50,7,156,0,0,1,4,0,0,0,0,0,0,1,38,37.0,35.5,10.0,8.3,2,0.12,0.13,0.25,3.18,2.3,3.5,0.3,i,4,9,11,15
132,Howell,Harry,Howell,Brighton,36,3,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
133,Watson,Tom,Watson,Brighton,36,3,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
